ID,Date,Text,Latitude,Longitude,Sentiment,Language
1.44743E+18,2021-10-11 00:00:00-05:00,@LauSante10 @leo_rle Apoyo ese comentario jajajaja ya hay que organizarlo,19.0742235,-98.3340725,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:00:03-05:00,@alexlealmldz @EnriqueBurak Para causar m«≠s polemica! Y se lo agradecemos! –???,25.8365675,-98.362531,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:00:07-05:00,@Luisa2Fernanda A quien no le vas a gustar con ese hermoso cuerpo de una diosa x favor me envenenas con esa curvas,17.706791,-94.3909125,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:00:10-05:00,En la comida me quedee con DUDA de c00000000M000 $tara mi novia BARBARRRRRRRRRA. #mina –???–???–???É?≠,19.432836,-99.153366,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:00:14-05:00,Hoy cobramos estos dos buenos parlays! https://t.co/YyvKXML2hj,32.3328765,-116.929102,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:00:19-05:00,Uno peque«Òo de hoy   #tatoosantamuerte #santa #santamuertetattoo #santamuerte en Villa Nicol«≠s Romero https://t.co/5D1u4ah6h0,19.6219,-99.3131,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:00:21-05:00,"@gilnav13 Gracias por el apoyo, bro.",21.09806,-101.601401,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:00:22-05:00,"Tu y yo   Por siempre en Canc«ßn, Quintana Roo https://t.co/OC53Ujwa2T",21.1635,-86.8257,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:00:46-05:00,"@axelsolisrmz @rogelio7funes @miseleccionmx Ya es parte de la selecci«¸n mexicana, hay q apoyarlo al –??Ó",19.199485,-99.208364,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:00:54-05:00,"El estadio azteca puede ser muy complicado, pero es muy fotog«∏nico desde el punto correcto. –??˜Éùœã˜è https://t.co/gq7jmNWnoQ",19.303162,-99.15051,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:00:59-05:00,Hoy es el d«a! –???–?è¨–??Ø,20.5226915,-100.772211,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:03-05:00,@araceli03956935 @grociodeL Gracias.,18.933812,-99.260819,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:03-05:00,Iniciamos una historia bien CHINGONA #ConTodoMenosConMiedo –?æ¸–???–?æ¸–???,25.244223,-103.23313,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:04-05:00,3 meses para 2022 y solo fui feliz como 2 d«as,19.0322295,-98.1542665,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:06-05:00,"Chale banda de repente me atacan los recuerdos bien salvajes de la nada, la extra«Òo un buen pero sigo pensando que fue lo mejor. Fui muy feliz lo que duro pero por salud ten«a que poner un final u.u https://t.co/ZBp2c618i4",19.518656,-99.1158905,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:10-05:00,@lasihesa178 Gracias.,18.933812,-99.260819,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:12-05:00,"Contenta y cansada despu«∏s de m«≠s de 21km y 10 horas llenas de risas, reflexiones, recuerdos y v«∏rtigo Éùœã˜èÉ?¯. https://t.co/9Qs6IZqXdm",19.561495,-97.155225,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:16-05:00,Tengo la esperanza que ma«Òana se cancele el trabajo jajaja (obvio no creo),20.941035,-89.623611,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:18-05:00,Hoy cumple a«Òos la princesa de RZ @Rz_Marki hay para que lo felicite y deseen suerte en sus ex«≠menes de ma«Òana.Éùœã˜è,26.8782035,-101.220857,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:20-05:00,"@erikawilliamshn estoy seguro que donde vas te ir«≠ s«ßper bien. Sos una gran profesional con una enorme carrera por delante. Un placer compartir con vos siempre. Record«≠ el #mantra o #Rhema : É??Hazlo, y si tienes miedo, Hazlo con miedoÉ?ù –???–?èØ–???–",15.2011325,-86.2431935,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:27-05:00,@WILIAMARMANDO @grociodeL Gracias.,18.933812,-99.260819,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:37-05:00,@CarLon_2020 Gracias.,18.933812,-99.260819,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:41-05:00,T«o @C_A_Morelia y @Luishiguera8Jos espero poder verlos ac«≠ en Cancun si la econom«a lo permite para ver ganar a mis canarios Éùœã˜è–???,20.5845305,-87.346982,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:42-05:00,"Hola a todos solo paso a presentarles un peque«Òo proyecto, con una idea diferente y «ßnica. Les invito a seguirnos en nuestras cuenta de Instagram y Facebook como: Alfa Grind Store. Tendremos variedad en productos a excelentes precios! https://t.co/E8se5odpqG",15.2011325,-86.2431935,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:53-05:00,"Escribamos sobre nuestro pasado, para entender nuestro presente y mejorar nuestro futuro.  Mejoremos y aprendamos de nuestros errores.",20.790657,-103.4847745,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:54-05:00,EEWWWWWW–???–???,32.3422995,-106.7374385,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:58-05:00,@DeathRowAC Gracias.,18.933812,-99.260819,positivo,Espa«Òol
1.44743E+18,2021-10-11 00:01:59-05:00,La vida es como un espejo : te sonr«e si la miras sonriendo. É?˘–?çü https://t.co/0QUbYvWZDg,20.673542,-101.3403935,positivo,Espa«Òol
